シャンプーの容器,容器包装プラスチック,容器包装プラスチックのマークを確認する。中身を空にして汚れを落とす。汚れが落ちなければ燃やすごみ。,毎週水曜日,毎週水曜日
ジューサーミキサー,小型家電,,第2・第4月曜日,第2・第4火曜日
じゅうたん,粗大ごみ,1メートル未満に切断し指定ごみ袋に入れて口を結べれば燃やすごみ。,戸別回収,戸別回収
充電器,小型家電,なるべく小型家電専用回収ボックスへ。,第2・第4月曜日,第2・第4火曜日
充電式電池,拠点回収,,ー,ー
収納家具,粗大ごみ,1メートル以上は大型粗大ごみ。,戸別回収,戸別回収
ジュラルミンケース,不燃ごみ,50センチメートル以上は粗大ごみ。,毎週木曜日,毎週金曜日
シュレッダー（手動式）,不燃ごみ,50センチメートル以上は粗大ごみ。,毎週木曜日,毎週金曜日
シュレッダー（電動式）,小型家電,50センチメートル以上は粗大ごみ。,第2・第4月曜日,第2・第4火曜日
シュレッダーされた紙,ミックスペーパー,紙袋に入れてホチキスで封をする。または新聞紙にくるみ周囲をホチキスで留めて出す。,集団資源回収日,集団資源回収日
瞬間湯沸かし器,粗大ごみ,,戸別回収,戸別回収
消火器,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。,ー,ー
