映写機,小型家電,50センチメートル以上は粗大ごみ。
衛生用品,燃やすごみ,
ACアダプター,小型家電,なるべく小型家電専用回収ボックスへ。
絵の具のチューブ（金属製）,不燃ごみ,
絵の具のチューブ（プラスチック製）,燃やすごみ,
エフェクター,小型家電,
MD（ミニディスク）,燃やすごみ,なるべく拠点回収へ。
LED電球,不燃ごみ,
LEDライト,小型家電,電球は外す。なるべく小型家電専用回収ボックスへ。
エレクトーン（電子オルガン）,大型粗大ごみ,
園芸用支柱,指定品目,5本まで指定ごみ袋（大きさ不問）を巻いて不燃ごみの日に出す。
園芸用農薬,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
エンジンオイル（廃油）,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
品名,種別,留意点等
オイルヒーター（ジャバラ式）,粗大ごみ,オイルを抜き取るため50センチメートル未満でも粗大ごみ。
応接用椅子（1人用）,粗大ごみ,1メートル以上は大型粗大ごみ。
応接用椅子（2人以上用のもの）,大型粗大ごみ,
オーディオ機器,小型家電,50センチメートル以上は粗大ごみ。
オーディオラック,粗大ごみ,1メートル以上は大型粗大ごみ。
オートバイ,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
オーブントースター,小型家電,
オーブンレンジ,小型家電,50センチメートル以上は粗大ごみ。
押入れタンス,粗大ごみ,1メートル以上は大型粗大ごみ。
落葉,草・葉・植木,1度に3袋まで。
オットマン（足置き台）,粗大ごみ,50センチメートル未満は不燃ごみ。
斧,不燃ごみ,紙に包み指定ごみ袋に入れ「キケン」と表示する。
おもちゃ（金属製）,家庭金物,
おもちゃ（プラスチック製）,燃やすごみ,
おもり（金属製）,不燃ごみ,50センチメートル以上は粗大ごみ。
おもり（プラスチック製）,燃やすごみ,50センチメートル以上は粗大ごみ。
おりがみ,ミックスペーパー,
折り込み広告,新聞,新聞と一緒に束ねて出す。
折りたたみイス,粗大ごみ,50センチメートル未満は不燃ごみ。
折りたたみテーブル,粗大ごみ,1メートル以上は大型粗大ごみ。
折りたたみベッド,大型粗大ごみ,電動式は収集不可。
オルガン,大型粗大ごみ,1メートル未満は粗大ごみ。
オルゴール,不燃ごみ,
温室（小、フレームのみ）,粗大ごみ,1メートル以上は大型粗大ごみ。
温水洗浄便座,小型家電,50センチメートル以上は粗大ごみ。
温度計,不燃ごみ,
温度計（水銀式）,危険有害ごみ,なるべく拠点回収へ。
品名,種別,留意点等
カーテン,粗大ごみ,1メートル未満に切断し指定ごみ袋に入れて口を結べれば燃やすごみ。
カーテンレール,粗大ごみ,50センチメートル未満の金属製は家庭金物。
カーナビ・カーテレビ,小型家電,なるべく小型家電専用回収ボックスへ。
カーペット（ホットカーペット）,粗大ごみ,1メートル未満に切断して、指定ごみ袋に入れて口が結べれば燃やすごみ。
カーペットローラー,燃やすごみ,柄が金属のものは不燃ごみ。
カーペットローラー（指定ごみ袋に入らないもの）,指定品目,5本まで指定ごみ袋（大きさ不問）を巻いて不燃ごみの日に出す。
カーポート,大型粗大ごみ,解体済のものに限る。
カーボン紙,燃やすごみ,
貝殻,燃やすごみ,
カイロ（充電式）,小型家電,
カイロ（使い捨て）,燃やすごみ,
化学薬品,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
鏡,不燃ごみ,紙に包み指定ごみ袋に入れ「キケン」と表示する。50センチメートル以上は粗大ごみ（2メートル以内に限る）。
鍵（金属製）,家庭金物,
角ハンガー（金属製）,家庭金物,
角ハンガー（プラスチック製）,燃やすごみ,
額縁,不燃ごみ,金属製は家庭金物。50センチメートル以上は粗大ごみ。
